,region,receptor_name,expression_density,expression_energy,expression_density_log2,expression_density_log2_z,expression_energy_log2,expression_energy_log2_z,mod_index_early,mod_index_late,latency_peak_onset,mod_index_early_round,mod_index_late_round,latency_peak_onset_round
0,Amygdala,htr1a,0.012575862857142859,1.4730495,-6.313198799921699,0.36135640171860167,0.5588059111644146,0.23607306572274928,-0.034654453980777475,-0.07874927067069468,0.30604855152478305,-0.03465,-0.07875,0.30605
8,Hippocampus,htr1a,0.015630265833333334,2.36445,-5.999513874446083,0.5456040430070519,1.2415046340711497,0.6501987214513247,-0.1221063442991148,-0.18671038182058394,0.23331929375090096,-0.12211,-0.18671,0.23332
12,Medial prefrontal cortex,htr1a,0.014167473809523809,1.652249761904762,-6.1412736543401705,0.4623392669408976,0.7244317878623315,0.3365418706168156,0.03096063465843607,0.04984605645988993,0.3500809875313455,0.03096,0.04985,0.35008
16,Olfactory areas,htr1a,0.017176067142857143,2.1075542142857144,-5.863456453824175,0.6255194510916706,1.0755697432314846,0.5495424683025788,-0.12599349049964811,-0.23489774806474312,0.19175247886685312,-0.12599,-0.2349,0.19175
20,Orbitofrontal cortex,htr1a,0.017993533333333332,2.0778499999999998,-5.796377677896122,0.6649191966373676,1.0550915098402682,0.5371203536175059,-0.051655973899738715,-0.017227171275629564,0.36493486527205526,-0.05166,-0.01723,0.36493
24,Periaqueductal gray,htr1a,0.009872976666666667,1.1486349999999999,-6.662299167072923,0.15630695880061657,0.19992042779524138,0.018372810624968164,0.03187820596776297,0.11768700443589344,0.5563788976028186,0.03188,0.11769,0.55638
28,Piriform,htr1a,0.013810890000000001,1.6457499999999998,-6.17804989717269,0.44073817792755376,0.7187451977563999,0.3330923799740738,-0.047595705019485034,-0.13366625860608697,0.32136949986784674,-0.0476,-0.13367,0.32137
32,Retrosplenial cortex,htr1a,0.01291586090909091,1.5881399999999999,-6.274712380009764,0.38396198941032555,0.6673380966137208,0.30190878645690017,-0.019648484848484832,-0.07450909090909087,0.2759160962434594,-0.01965,-0.07451,0.27592
36,Secondary motor cortex,htr1a,0.01291938,1.5088156,-6.2743193528998376,0.3841928398978222,0.5934164975667193,0.2570678783803424,-0.03410906317459915,-0.08535706506702886,0.35088014612677415,-0.03411,-0.08536,0.35088
40,Superior colliculus,htr1a,0.014498466666666666,1.7678788888888888,-6.107955858456418,0.4819089842143805,0.822019444195293,0.39573863020328925,0.007556718192627823,-0.022298216409036863,0.32405221649859206,0.00756,-0.0223,0.32405
44,Tail of the striatum,htr1a,0.00243842,0.275389,-8.679837643638127,-1.0287251397365105,-1.860457160550252,-1.2314540766864985,0.0016873950745751108,-0.02053980575789106,0.33344700903006214,0.00169,-0.02054,0.33345
48,Thalamus,htr1a,0.006252874,0.75251,-7.321264838483987,-0.23074661243319253,-0.41021734111528896,-0.3517373055314402,-0.1049563245240659,-0.10632450524345852,0.3485329569839029,-0.10496,-0.10632,0.34853
52,Visual cortex,htr1a,0.010704088055555555,1.2972785777777778,-6.545694300522138,0.2247966115697503,0.37548831738690164,0.12487244942971383,-0.04462228832777422,-0.10610181124422319,0.3359970779832301,-0.04462,-0.1061,0.336
1,Amygdala,htr2a,0.026682279285714285,3.2987130714285717,-5.227974278359288,0.9987796316143073,1.7219032948990003,0.9416089786426824,-0.034654453980777475,-0.07874927067069468,0.30604855152478305,-0.03465,-0.07875,0.30605
9,Hippocampus,htr2a,0.012731545833333335,1.7420640833333334,-6.295448591376939,0.3717822583382384,0.800797695697229,0.3828654985896121,-0.1221063442991148,-0.18671038182058394,0.23331929375090096,-0.12211,-0.18671,0.23332
13,Medial prefrontal cortex,htr2a,0.03346609047619048,4.368800476190477,-4.9011561651932976,1.1907412516694484,2.1272372191756848,1.187484899525356,0.03096063465843607,0.04984605645988993,0.3500809875313455,0.03096,0.04985,0.35008
17,Olfactory areas,htr2a,0.03276192142857143,4.4876314285714285,-4.931836218809773,1.172720852681936,2.1659541915421836,1.2109706495804236,-0.12599349049964811,-0.23489774806474312,0.19175247886685312,-0.12599,-0.2349,0.19175
21,Orbitofrontal cortex,htr2a,0.04688927777777777,6.421578888888889,-4.414598131966637,1.4765285582670937,2.682928059826757,1.5245674603175878,-0.051655973899738715,-0.017227171275629564,0.36493486527205526,-0.05166,-0.01723,0.36493
25,Periaqueductal gray,htr2a,0.0141603,1.6935099999999998,-6.142004359104697,0.46191007631550135,0.7600165058210359,0.35812759234750946,0.03187820596776297,0.11768700443589344,0.5563788976028186,0.03188,0.11769,0.55638
29,Piriform,htr2a,0.034093066666666665,4.565916666666666,-4.874377814239222,1.20646992589057,2.1909045289266413,1.2261055465463864,-0.047595705019485034,-0.13366625860608697,0.32136949986784674,-0.0476,-0.13367,0.32137
33,Retrosplenial cortex,htr2a,0.013911021818181818,1.719270909090909,-6.167627794489794,0.44685975942745515,0.7817968911846163,0.3713395935832962,-0.019648484848484832,-0.07450909090909087,0.2759160962434594,-0.01965,-0.07451,0.27592
37,Secondary motor cortex,htr2a,0.037668560000000004,5.2904420000000005,-4.730495307022138,1.2909815183339144,2.4033882600651246,1.3549983678405604,-0.03410906317459915,-0.08535706506702886,0.35088014612677415,-0.03411,-0.08536,0.35088
41,Superior colliculus,htr2a,0.012866086666666667,1.5142777777777778,-6.280282877871746,0.3806900722459407,0.5986298763036544,0.26023031858354395,0.007556718192627823,-0.022298216409036863,0.32405221649859206,0.00756,-0.0223,0.32405
45,Tail of the striatum,htr2a,0.0217951,2.74928,-5.519852366712632,0.8273405698189524,1.4590538453886628,0.7821642675512364,0.0016873950745751108,-0.02053980575789106,0.33344700903006214,0.00169,-0.02054,0.33345
49,Thalamus,htr2a,0.007975116,0.9128954,-6.970278781282054,-0.024589580607268274,-0.13147852990939038,-0.1826540934284994,-0.1049563245240659,-0.10632450524345852,0.3485329569839029,-0.10496,-0.10632,0.34853
53,Visual cortex,htr2a,0.01623293944444444,2.0992685,-5.944931924457729,0.5776635865985407,1.069886701572988,0.5460951301512238,-0.04462228832777422,-0.10610181124422319,0.3359970779832301,-0.04462,-0.1061,0.336
3,Amygdala,htr3a,0.0021439582142857142,0.31623642142857145,-8.865507496697672,-1.1377811692308368,-1.6609245602447742,-1.1104174229354673,-0.034654453980777475,-0.07874927067069468,0.30604855152478305,-0.03465,-0.07875,0.30605
11,Hippocampus,htr3a,0.006477247500000001,1.0338162499999999,-7.27040341317575,-0.20087237594763996,0.047979784520047426,-0.07379451943865822,-0.1221063442991148,-0.18671038182058394,0.23331929375090096,-0.12211,-0.18671,0.23332
15,Medial prefrontal cortex,htr3a,0.0033315485714285713,0.5227901904761905,-8.229591357513094,-0.7642660934765063,-0.9356960239225829,-0.6704931443623962,0.03096063465843607,0.04984605645988993,0.3500809875313455,0.03096,0.04985,0.35008
19,Olfactory areas,htr3a,0.0027892678571428573,0.4274118571428572,-8.485897799698487,-0.9148116045433554,-1.226301163483184,-0.8467744818551997,-0.12599349049964811,-0.23489774806474312,0.19175247886685312,-0.12599,-0.2349,0.19175
23,Orbitofrontal cortex,htr3a,0.0025766948888888887,0.3922899777777778,-8.600262569485231,-0.9819855021980014,-1.3500076169666093,-0.9218149271464363,-0.051655973899738715,-0.017227171275629564,0.36493486527205526,-0.05166,-0.01723,0.36493
27,Periaqueductal gray,htr3a,0.00023302833333333333,0.033390866666666665,-12.067207000316401,-3.018348368186043,-4.904402650447502,-3.077914132505218,0.03187820596776297,0.11768700443589344,0.5563788976028186,0.03188,0.11769,0.55638
31,Piriform,htr3a,0.0022523133333333333,0.3409816666666667,-8.794376740991135,-1.0960014313549304,-1.5522339219725598,-1.0444855845772647,-0.047595705019485034,-0.13366625860608697,0.32136949986784674,-0.0476,-0.13367,0.32137
35,Retrosplenial cortex,htr3a,0.002385688181818182,0.3705922727272727,-8.71137879483195,-1.0472513175634266,-1.4320952950501593,-0.9716093860680044,-0.019648484848484832,-0.07450909090909087,0.2759160962434594,-0.01965,-0.07451,0.27592
39,Secondary motor cortex,htr3a,0.002631244,0.4115696,-8.570039246242716,-0.9642333707849647,-1.280791671326411,-0.8798284726338557,-0.03410906317459915,-0.08535706506702886,0.35088014612677415,-0.03411,-0.08536,0.35088
43,Superior colliculus,htr3a,0.0013905479666666666,0.2082578888888889,-9.490130773649856,-1.5046632095386618,-2.2635569484186897,-1.4759747684263478,0.007556718192627823,-0.022298216409036863,0.32405221649859206,0.00756,-0.0223,0.32405
47,Tail of the striatum,htr3a,0.000567728,0.08663,-10.78251248333918,-2.2637633840005114,-3.5289894724869932,-2.243587268972425,0.0016873950745751108,-0.02053980575789106,0.33344700903006214,0.00169,-0.02054,0.33345
51,Thalamus,htr3a,0.00046187248,0.07208912199999999,-11.080217791687513,-2.438625152633683,-3.7940746115936905,-2.4043881513719936,-0.1049563245240659,-0.10632450524345852,0.3485329569839029,-0.10496,-0.10632,0.34853
55,Visual cortex,htr3a,0.0029660794444444447,0.4702158333333334,-8.397227044734992,-0.8627294796898294,-1.088604975958334,-0.763247851385959,-0.04462228832777422,-0.10610181124422319,0.3359970779832301,-0.04462,-0.1061,0.336
2,Amygdala,htr2c,0.02271974642857143,3.3365970714285713,-5.459909456529135,0.8625489554196601,1.7383774767061495,0.9516022320567649,-0.034654453980777475,-0.07874927067069468,0.30604855152478305,-0.03465,-0.07875,0.30605
10,Hippocampus,htr2c,0.006891068,1.0781886666666667,-7.181056690861904,-0.1483932113265785,0.10860964993509843,-0.03701638886762244,-0.1221063442991148,-0.18671038182058394,0.23331929375090096,-0.12211,-0.18671,0.23332
14,Medial prefrontal cortex,htr2c,0.006280495238095238,0.9138175714285715,-7.314905959721324,-0.2270116276822247,-0.13002191107471153,-0.1817705071409938,0.03096063465843607,0.04984605645988993,0.3500809875313455,0.03096,0.04985,0.35008
18,Olfactory areas,htr2c,0.02118801642857143,3.176852428571429,-5.560607657402598,0.8034023261552954,1.6675980754108837,0.9086673839459061,-0.12599349049964811,-0.23489774806474312,0.19175247886685312,-0.12599,-0.2349,0.19175
22,Orbitofrontal cortex,htr2c,0.009721274444444445,1.434107888888889,-6.6846388232843745,0.14318541986177824,0.5201535630286358,0.2126265167838181,-0.051655973899738715,-0.017227171275629564,0.36493486527205526,-0.05166,-0.01723,0.36493
26,Periaqueductal gray,htr2c,0.03709236666666666,5.483343333333334,-4.7527338682984706,1.2779193590522708,2.4550558091791097,1.3863399493299995,0.03187820596776297,0.11768700443589344,0.5563788976028186,0.03188,0.11769,0.55638
30,Piriform,htr2c,0.024830033333333335,3.651676666666667,-5.331769991497892,0.9378136311198814,1.8685590292740737,1.0305704782421625,-0.047595705019485034,-0.13366625860608697,0.32136949986784674,-0.0476,-0.13367,0.32137
34,Retrosplenial cortex,htr2c,0.017054665454545457,2.5183008181818183,-5.873689734547947,0.6195087770589969,1.3324506273688768,0.7053666423021934,-0.019648484848484832,-0.07450909090909087,0.2759160962434594,-0.01965,-0.07451,0.27592
38,Secondary motor cortex,htr2c,0.0036960720000000003,0.5454392,-8.07979142373301,-0.6762788099871951,-0.8745097063075707,-0.6333774693893299,-0.03410906317459915,-0.08535706506702886,0.35088014612677415,-0.03411,-0.08536,0.35088
42,Superior colliculus,htr2c,0.03277556666666667,4.797337777777778,-4.931235465921972,1.1730737140838878,2.2622340224389013,1.2693740810879213,0.007556718192627823,-0.022298216409036863,0.32405221649859206,0.00756,-0.0223,0.32405
46,Tail of the striatum,htr2c,0.00997876,1.56492,-6.646923732926863,0.16533795533607973,0.6460889072835863,0.28901900920995377,0.0016873950745751108,-0.02053980575789106,0.33344700903006214,0.00169,-0.02054,0.33345
50,Thalamus,htr2c,0.0045542392,0.6711237999999999,-7.77857421725627,-0.49935427424583867,-0.5753491747038545,-0.45190642343364107,-0.1049563245240659,-0.10632450524345852,0.3485329569839029,-0.10496,-0.10632,0.34853
54,Visual cortex,htr2c,0.002277789277777778,0.32503259444444443,-8.77814999765413,-1.0864704053386085,-1.621343695252444,-1.0864076348411482,-0.04462228832777422,-0.10610181124422319,0.3359970779832301,-0.04462,-0.1061,0.336
