,ripple_freq,time,subject,date,probe,pid
0,0.4399991056099049,-0.75,ZFM-05170,2022-12-07,probe00,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
1,0.4000001490650159,-0.25,ZFM-05170,2022-12-07,probe00,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
2,0.39999910560990487,0.25,ZFM-05170,2022-12-07,probe00,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
3,0.16000089439009513,0.75,ZFM-05170,2022-12-07,probe00,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
4,0.15999955280495246,1.25,ZFM-05170,2022-12-07,probe00,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
5,0.04000059626006343,1.75,ZFM-05170,2022-12-07,probe00,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
6,0.08000059626006344,2.25,ZFM-05170,2022-12-07,probe00,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
7,0.2799988074798731,2.75,ZFM-05170,2022-12-07,probe00,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
8,0.1600005962600634,3.25,ZFM-05170,2022-12-07,probe00,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
9,0.19999940373993655,3.75,ZFM-05170,2022-12-07,probe00,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
0,4.8218386812689965e-21,-0.75,ZFM-04811,2022-11-08,probe00,05db6d4d-cfda-4686-b485-481423912b33
1,9.316563490994918e-05,-0.25,ZFM-04811,2022-11-08,probe00,05db6d4d-cfda-4686-b485-481423912b33
2,24.999907877820203,0.25,ZFM-04811,2022-11-08,probe00,05db6d4d-cfda-4686-b485-481423912b33
3,25.279904747454886,0.75,ZFM-04811,2022-11-08,probe00,05db6d4d-cfda-4686-b485-481423912b33
4,9.420909002094063e-05,1.25,ZFM-04811,2022-11-08,probe00,05db6d4d-cfda-4686-b485-481423912b33
5,4.875843274499208e-21,1.75,ZFM-04811,2022-11-08,probe00,05db6d4d-cfda-4686-b485-481423912b33
6,3.5046497250969487e-48,2.25,ZFM-04811,2022-11-08,probe00,05db6d4d-cfda-4686-b485-481423912b33
7,3.498464344464078e-86,2.75,ZFM-04811,2022-11-08,probe00,05db6d4d-cfda-4686-b485-481423912b33
8,5.5355448488355676e-89,3.25,ZFM-04811,2022-11-08,probe00,05db6d4d-cfda-4686-b485-481423912b33
9,5.545331843507831e-51,3.75,ZFM-04811,2022-11-08,probe00,05db6d4d-cfda-4686-b485-481423912b33
0,0.12000014906501587,-0.75,ZFM-04300,2022-09-22,probe00,3ac05dd2-a294-4939-a837-93fe5ca543b6
1,0.12000029813003169,-0.25,ZFM-04300,2022-09-22,probe00,3ac05dd2-a294-4939-a837-93fe5ca543b6
2,0.19999925467492077,0.25,ZFM-04300,2022-09-22,probe00,3ac05dd2-a294-4939-a837-93fe5ca543b6
3,0.08000059626006342,0.75,ZFM-04300,2022-09-22,probe00,3ac05dd2-a294-4939-a837-93fe5ca543b6
4,0.11999955280495243,1.25,ZFM-04300,2022-09-22,probe00,3ac05dd2-a294-4939-a837-93fe5ca543b6
5,0.04000029813003172,1.75,ZFM-04300,2022-09-22,probe00,3ac05dd2-a294-4939-a837-93fe5ca543b6
6,0.03999985093498414,2.25,ZFM-04300,2022-09-22,probe00,3ac05dd2-a294-4939-a837-93fe5ca543b6
7,5.96260063423675e-07,2.75,ZFM-04300,2022-09-22,probe00,3ac05dd2-a294-4939-a837-93fe5ca543b6
8,0.11999925467492072,3.25,ZFM-04300,2022-09-22,probe00,3ac05dd2-a294-4939-a837-93fe5ca543b6
9,0.04000029813003172,3.75,ZFM-04300,2022-09-22,probe00,3ac05dd2-a294-4939-a837-93fe5ca543b6
0,5.96260063423675e-07,-0.75,ZFM-04300,2022-09-20,probe00,ea75c815-b3d8-4612-89e7-4b25cfec110d
1,0.11999910560990486,-0.25,ZFM-04300,2022-09-20,probe00,ea75c815-b3d8-4612-89e7-4b25cfec110d
2,4.471950475677562e-07,0.25,ZFM-04300,2022-09-20,probe00,ea75c815-b3d8-4612-89e7-4b25cfec110d
3,2.314482567009118e-23,0.75,ZFM-04300,2022-09-20,probe00,ea75c815-b3d8-4612-89e7-4b25cfec110d
4,7.714941890030392e-24,1.25,ZFM-04300,2022-09-20,probe00,ea75c815-b3d8-4612-89e7-4b25cfec110d
5,1.4906501585591874e-07,1.75,ZFM-04300,2022-09-20,probe00,ea75c815-b3d8-4612-89e7-4b25cfec110d
6,0.03999970186996829,2.25,ZFM-04300,2022-09-20,probe00,ea75c815-b3d8-4612-89e7-4b25cfec110d
7,2.981300317118375e-07,2.75,ZFM-04300,2022-09-20,probe00,ea75c815-b3d8-4612-89e7-4b25cfec110d
8,0.03999985093498414,3.25,ZFM-04300,2022-09-20,probe00,ea75c815-b3d8-4612-89e7-4b25cfec110d
9,0.03999985093498414,3.75,ZFM-04300,2022-09-20,probe00,ea75c815-b3d8-4612-89e7-4b25cfec110d
0,0.23999895654488898,-0.75,ZFM-04300,2022-09-19,probe00,6b68ff0d-9014-4a81-b2c2-915ddfdba3a3
1,0.1600318999133932,-0.25,ZFM-04300,2022-09-19,probe00,6b68ff0d-9014-4a81-b2c2-915ddfdba3a3
2,8.639966758501464,0.25,ZFM-04300,2022-09-19,probe00,6b68ff0d-9014-4a81-b2c2-915ddfdba3a3
3,8.199971081386925,0.75,ZFM-04300,2022-09-19,probe00,6b68ff0d-9014-4a81-b2c2-915ddfdba3a3
4,3.145271834559887e-05,1.25,ZFM-04300,2022-09-19,probe00,6b68ff0d-9014-4a81-b2c2-915ddfdba3a3
5,0.23999940373993658,1.75,ZFM-04300,2022-09-19,probe00,6b68ff0d-9014-4a81-b2c2-915ddfdba3a3
6,0.31999880747987314,2.25,ZFM-04300,2022-09-19,probe00,6b68ff0d-9014-4a81-b2c2-915ddfdba3a3
7,0.080001043455111,2.75,ZFM-04300,2022-09-19,probe00,6b68ff0d-9014-4a81-b2c2-915ddfdba3a3
8,0.11999955280495243,3.25,ZFM-04300,2022-09-19,probe00,6b68ff0d-9014-4a81-b2c2-915ddfdba3a3
9,0.04000014906501586,3.75,ZFM-04300,2022-09-19,probe00,6b68ff0d-9014-4a81-b2c2-915ddfdba3a3
0,2.94710780199161e-21,-0.75,ZFM-04083,2022-07-19,probe00,87ddbc18-7a81-49f7-a9fb-d0add506ee27
1,5.694283605696098e-05,-0.25,ZFM-04083,2022-07-19,probe00,87ddbc18-7a81-49f7-a9fb-d0add506ee27
2,15.279938436148452,0.25,ZFM-04083,2022-07-19,probe00,87ddbc18-7a81-49f7-a9fb-d0add506ee27
3,14.03995229919493,0.75,ZFM-04083,2022-07-19,probe00,87ddbc18-7a81-49f7-a9fb-d0add506ee27
4,5.232182056542749e-05,1.25,ZFM-04083,2022-07-19,probe00,87ddbc18-7a81-49f7-a9fb-d0add506ee27
5,2.7079446034006685e-21,1.75,ZFM-04083,2022-07-19,probe00,87ddbc18-7a81-49f7-a9fb-d0add506ee27
6,1.5429883780060785e-23,2.25,ZFM-04083,2022-07-19,probe00,87ddbc18-7a81-49f7-a9fb-d0add506ee27
7,2.981300317118375e-07,2.75,ZFM-04083,2022-07-19,probe00,87ddbc18-7a81-49f7-a9fb-d0add506ee27
8,0.07999940373993658,3.25,ZFM-04083,2022-07-19,probe00,87ddbc18-7a81-49f7-a9fb-d0add506ee27
9,4.471950475677562e-07,3.75,ZFM-04083,2022-07-19,probe00,87ddbc18-7a81-49f7-a9fb-d0add506ee27
0,0.360000149065016,-0.75,ZFM-04080,2022-07-07,probe00,8f914cf1-3466-4fa4-a49d-a8c9182da684
1,0.16000119252012687,-0.25,ZFM-04080,2022-07-07,probe00,8f914cf1-3466-4fa4-a49d-a8c9182da684
2,0.2799986584148573,0.25,ZFM-04080,2022-07-07,probe00,8f914cf1-3466-4fa4-a49d-a8c9182da684
3,0.04000149065015856,0.75,ZFM-04080,2022-07-07,probe00,8f914cf1-3466-4fa4-a49d-a8c9182da684
4,0.19999895654488906,1.25,ZFM-04080,2022-07-07,probe00,8f914cf1-3466-4fa4-a49d-a8c9182da684
5,0.08000014906501587,1.75,ZFM-04080,2022-07-07,probe00,8f914cf1-3466-4fa4-a49d-a8c9182da684
6,1.341585142703269e-06,2.25,ZFM-04080,2022-07-07,probe00,8f914cf1-3466-4fa4-a49d-a8c9182da684
7,0.2800004471950476,2.75,ZFM-04080,2022-07-07,probe00,8f914cf1-3466-4fa4-a49d-a8c9182da684
8,0.6799971677646987,3.25,ZFM-04080,2022-07-07,probe00,8f914cf1-3466-4fa4-a49d-a8c9182da684
9,0.3200013415851427,3.75,ZFM-04080,2022-07-07,probe00,8f914cf1-3466-4fa4-a49d-a8c9182da684
0,0.3199988074798732,-0.75,ZFM-04080,2022-07-05,probe00,c941ee0a-5552-4a96-9464-f57c95c7837c
1,0.20000044719504756,-0.25,ZFM-04080,2022-07-05,probe00,c941ee0a-5552-4a96-9464-f57c95c7837c
2,0.19999985093498412,0.25,ZFM-04080,2022-07-05,probe00,c941ee0a-5552-4a96-9464-f57c95c7837c
3,0.15999955280495243,0.75,ZFM-04080,2022-07-05,probe00,c941ee0a-5552-4a96-9464-f57c95c7837c
4,5.96260063423675e-07,1.25,ZFM-04080,2022-07-05,probe00,c941ee0a-5552-4a96-9464-f57c95c7837c
5,4.471950475677562e-07,1.75,ZFM-04080,2022-07-05,probe00,c941ee0a-5552-4a96-9464-f57c95c7837c
6,0.11999910560990486,2.25,ZFM-04080,2022-07-05,probe00,c941ee0a-5552-4a96-9464-f57c95c7837c
7,1.1925201268473501e-06,2.75,ZFM-04080,2022-07-05,probe00,c941ee0a-5552-4a96-9464-f57c95c7837c
8,0.19999970186996827,3.25,ZFM-04080,2022-07-05,probe00,c941ee0a-5552-4a96-9464-f57c95c7837c
9,0.3199998509349842,3.75,ZFM-04080,2022-07-05,probe00,c941ee0a-5552-4a96-9464-f57c95c7837c
0,0.3599992546749208,-0.75,ZFM-04122,2022-05-10,probe00,fb97e357-0c74-43a4-9556-1f18d6d63f9d
1,0.20000163971517446,-0.25,ZFM-04122,2022-05-10,probe00,fb97e357-0c74-43a4-9556-1f18d6d63f9d
2,0.4799976149597464,0.25,ZFM-04122,2022-05-10,probe00,fb97e357-0c74-43a4-9556-1f18d6d63f9d
3,0.12000089439009515,0.75,ZFM-04122,2022-05-10,probe00,fb97e357-0c74-43a4-9556-1f18d6d63f9d
4,4.471950475677563e-07,1.25,ZFM-04122,2022-05-10,probe00,fb97e357-0c74-43a4-9556-1f18d6d63f9d
5,2.981300317118375e-07,1.75,ZFM-04122,2022-05-10,probe00,fb97e357-0c74-43a4-9556-1f18d6d63f9d
6,0.08000014906501585,2.25,ZFM-04122,2022-05-10,probe00,fb97e357-0c74-43a4-9556-1f18d6d63f9d
7,0.19999985093498418,2.75,ZFM-04122,2022-05-10,probe00,fb97e357-0c74-43a4-9556-1f18d6d63f9d
8,0.27999895654488904,3.25,ZFM-04122,2022-05-10,probe00,fb97e357-0c74-43a4-9556-1f18d6d63f9d
9,0.08000119252012683,3.75,ZFM-04122,2022-05-10,probe00,fb97e357-0c74-43a4-9556-1f18d6d63f9d
0,0.1666663561145503,-0.75,ZFM-03323,2022-04-06,probe00,f06f5a5e-2e8a-4cf0-ac5f-8d14aeec4c98
1,0.12500232914087273,-0.25,ZFM-03323,2022-04-06,probe00,f06f5a5e-2e8a-4cf0-ac5f-8d14aeec4c98
2,0.7083313147445769,0.25,ZFM-03323,2022-04-06,probe00,f06f5a5e-2e8a-4cf0-ac5f-8d14aeec4c98
3,0.7499978261351855,0.75,ZFM-03323,2022-04-06,probe00,f06f5a5e-2e8a-4cf0-ac5f-8d14aeec4c98
4,0.20833504136997338,1.25,ZFM-03323,2022-04-06,probe00,f06f5a5e-2e8a-4cf0-ac5f-8d14aeec4c98
5,0.12500015527605818,1.75,ZFM-03323,2022-04-06,probe00,f06f5a5e-2e8a-4cf0-ac5f-8d14aeec4c98
6,0.08333410971362425,2.25,ZFM-03323,2022-04-06,probe00,f06f5a5e-2e8a-4cf0-ac5f-8d14aeec4c98
7,0.2499998447239418,2.75,ZFM-03323,2022-04-06,probe00,f06f5a5e-2e8a-4cf0-ac5f-8d14aeec4c98
8,0.37499860251547634,3.25,ZFM-03323,2022-04-06,probe00,f06f5a5e-2e8a-4cf0-ac5f-8d14aeec4c98
9,0.12500062110423274,3.75,ZFM-03323,2022-04-06,probe00,f06f5a5e-2e8a-4cf0-ac5f-8d14aeec4c98
0,0.12000163971517445,-0.75,ZFM-03321,2022-03-23,probe01,25c481bf-47df-4a59-946c-60fdb4afbaba
1,0.3999982112198097,-0.25,ZFM-03321,2022-03-23,probe01,25c481bf-47df-4a59-946c-60fdb4afbaba
2,0.20000059626006347,0.25,ZFM-03321,2022-03-23,probe01,25c481bf-47df-4a59-946c-60fdb4afbaba
3,0.15999985093498412,0.75,ZFM-03321,2022-03-23,probe01,25c481bf-47df-4a59-946c-60fdb4afbaba
4,0.08000044719504756,1.25,ZFM-03321,2022-03-23,probe01,25c481bf-47df-4a59-946c-60fdb4afbaba
5,0.11999985093498415,1.75,ZFM-03321,2022-03-23,probe01,25c481bf-47df-4a59-946c-60fdb4afbaba
6,0.12000089439009516,2.25,ZFM-03321,2022-03-23,probe01,25c481bf-47df-4a59-946c-60fdb4afbaba
7,0.3599986584148573,2.75,ZFM-03321,2022-03-23,probe01,25c481bf-47df-4a59-946c-60fdb4afbaba
8,0.2400007453250793,3.25,ZFM-03321,2022-03-23,probe01,25c481bf-47df-4a59-946c-60fdb4afbaba
9,0.3199994037399366,3.75,ZFM-03321,2022-03-23,probe01,25c481bf-47df-4a59-946c-60fdb4afbaba
0,0.15999940373993657,-0.75,ZFM-03331,2022-03-08,probe00,2cd25262-6818-4b21-9f25-8b8f938c5e37
1,0.12,-0.25,ZFM-03331,2022-03-08,probe00,2cd25262-6818-4b21-9f25-8b8f938c5e37
2,0.08000044719504755,0.25,ZFM-03331,2022-03-08,probe00,2cd25262-6818-4b21-9f25-8b8f938c5e37
3,0.15999925467492074,0.75,ZFM-03331,2022-03-08,probe00,2cd25262-6818-4b21-9f25-8b8f938c5e37
4,0.04000074532507929,1.25,ZFM-03331,2022-03-08,probe00,2cd25262-6818-4b21-9f25-8b8f938c5e37
5,0.11999985093498415,1.75,ZFM-03331,2022-03-08,probe00,2cd25262-6818-4b21-9f25-8b8f938c5e37
6,0.15999940373993657,2.25,ZFM-03331,2022-03-08,probe00,2cd25262-6818-4b21-9f25-8b8f938c5e37
7,0.04000089439009514,2.75,ZFM-03331,2022-03-08,probe00,2cd25262-6818-4b21-9f25-8b8f938c5e37
8,0.15999940373993657,3.25,ZFM-03331,2022-03-08,probe00,2cd25262-6818-4b21-9f25-8b8f938c5e37
9,0.12,3.75,ZFM-03331,2022-03-08,probe00,2cd25262-6818-4b21-9f25-8b8f938c5e37
0,0.23999895654488898,-0.75,ZFM-03329,2022-03-03,probe00,c9a47fb2-3348-4184-8c08-c7e4940e9264
1,0.08000134158514267,-0.25,ZFM-03329,2022-03-03,probe00,c9a47fb2-3348-4184-8c08-c7e4940e9264
2,0.2799982112198098,0.25,ZFM-03329,2022-03-03,probe00,c9a47fb2-3348-4184-8c08-c7e4940e9264
3,1.639715174415106e-06,0.75,ZFM-03329,2022-03-03,probe00,c9a47fb2-3348-4184-8c08-c7e4940e9264
4,0.159998956544889,1.25,ZFM-03329,2022-03-03,probe00,c9a47fb2-3348-4184-8c08-c7e4940e9264
5,0.04000059626006343,1.75,ZFM-03329,2022-03-03,probe00,c9a47fb2-3348-4184-8c08-c7e4940e9264
6,0.08,2.25,ZFM-03329,2022-03-03,probe00,c9a47fb2-3348-4184-8c08-c7e4940e9264
7,0.1200002981300317,2.75,ZFM-03329,2022-03-03,probe00,c9a47fb2-3348-4184-8c08-c7e4940e9264
8,0.23999895654488898,3.25,ZFM-03329,2022-03-03,probe00,c9a47fb2-3348-4184-8c08-c7e4940e9264
9,0.08000134158514267,3.75,ZFM-03329,2022-03-03,probe00,c9a47fb2-3348-4184-8c08-c7e4940e9264
